prix médian(€),Postal code,Refnis code,Gemeentenaam,Nom commune
360000.0,9880,44084,Aalter,Aalter
360000.0,9881,44084,Aalter,Aalter
360000.0,9910,44084,Aalter,Aalter
295000.0,3200,24001,Aarschot,Aarschot
295000.0,3201,24001,Aarschot,Aarschot
295000.0,3202,24001,Aarschot,Aarschot
455000.0,2630,11001,Aartselaar,Aartselaar
309000.0,1790,23105,Affligem,Affligem
210000.0,6250,52074,Aiseau-Presles,Aiseau-Presles
287500.0,3570,73001,Alken,Alken
275000.0,9300,41002,Aalst,Alost
275000.0,9308,41002,Aalst,Alost
275000.0,9310,41002,Aalst,Alost
275000.0,9320,41002,Aalst,Alost
213750.0,8690,38002,Alveringem,Alveringem
213750.0,8691,38002,Alveringem,Alveringem
219000.0,4540,61003,Amay,Amay
209000.0,5300,92003,Andenne,Andenne
327000.0,1070,21001,Anderlecht,Anderlecht
185000.0,6150,56001,Anderlues,Anderlues
215000.0,5537,91005,Anhee,Anhee
200000.0,4430,62003,Ans,Ans
200000.0,4431,62003,Ans,Ans
200000.0,4432,62003,Ans,Ans
169000.0,7640,57003,Antoing,Antoing
169000.0,7641,57003,Antoing,Antoing
169000.0,7642,57003,Antoing,Antoing
169000.0,7643,57003,Antoing,Antoing
335000.0,2000,11002,Antwerpen,Anvers
335000.0,2018,11002,Antwerpen,Anvers
335000.0,2020,11002,Antwerpen,Anvers
335000.0,2030,11002,Antwerpen,Anvers
335000.0,2040,11002,Antwerpen,Anvers
335000.0,2050,11002,Antwerpen,Anvers
335000.0,2060,11002,Antwerpen,Anvers
335000.0,2100,11002,Antwerpen,Anvers
335000.0,2140,11002,Antwerpen,Anvers
335000.0,2170,11002,Antwerpen,Anvers
335000.0,2180,11002,Antwerpen,Anvers
335000.0,2600,11002,Antwerpen,Anvers
335000.0,2610,11002,Antwerpen,Anvers
335000.0,2660,11002,Antwerpen,Anvers
342500.0,8570,34002,Anzegem,Anzegem
342500.0,8572,34002,Anzegem,Anzegem
342500.0,8573,34002,Anzegem,Anzegem
289000.0,8850,37020,Ardooie,Ardooie
289000.0,8851,37020,Ardooie,Ardooie
292500.0,2370,13001,Arendonk,Arendonk
340000.0,6700,81001,Aarlen,Arlon
340000.0,6704,81001,Aarlen,Arlon
340000.0,6706,81001,Aarlen,Arlon
225000.0,3665,71002,As,As
225000.0,3668,71002,As,As
410000.0,1730,23002,Asse,Asse
410000.0,1731,23002,Asse,Asse
305000.0,9960,43002,Assenede,Assenede
305000.0,9961,43002,Assenede,Assenede
305000.0,9968,43002,Assenede,Assenede
200000.0,5330,92006,Assesse,Assesse
200000.0,5332,92006,Assesse,Assesse
200000.0,5333,92006,Assesse,Assesse
200000.0,5334,92006,Assesse,Assesse
200000.0,5336,92006,Assesse,Assesse
242500.0,7800,51004,Aat,Ath
242500.0,7801,51004,Aat,Ath
242500.0,7802,51004,Aat,Ath
242500.0,7803,51004,Aat,Ath
242500.0,7804,51004,Aat,Ath
242500.0,7810,51004,Aat,Ath
242500.0,7811,51004,Aat,Ath
242500.0,7812,51004,Aat,Ath
242500.0,7822,51004,Aat,Ath
242500.0,7823,51004,Aat,Ath
300000.0,6790,81004,Aubange,Aubange
300000.0,6791,81004,Aubange,Aubange
300000.0,6792,81004,Aubange,Aubange
277500.0,9700,45035,Oudenaarde,Audenarde
514000.0,1160,21002,Oudergem,Auderghem
265000.0,8580,34003,Avelgem,Avelgem
265000.0,8581,34003,Avelgem,Avelgem
265000.0,8582,34003,Avelgem,Avelgem
265000.0,8583,34003,Avelgem,Avelgem
220000.0,4340,62006,Awans,Awans
220000.0,4342,62006,Awans,Awans
210000.0,4920,62009,Aywaille,Aywaille
279500.0,2387,13002,Baarle-Hertog,Baerle-Duc
297500.0,2490,13003,Balen,Balen
297500.0,2491,13003,Balen,Balen
205000.0,4690,62011,Bitsingen,Bassenge
300000.0,6600,82003,Bastenaken,Bastogne
152500.0,6500,56005,Beaumont,Beaumont
152500.0,6511,56005,Beaumont,Beaumont
180500.0,5570,91013,Beauraing,Beauraing
180500.0,5571,91013,Beauraing,Beauraing
180500.0,5572,91013,Beauraing,Beauraing
180500.0,5573,91013,Beauraing,Beauraing
180500.0,5574,91013,Beauraing,Beauraing
180500.0,5576,91013,Beauraing,Beauraing
419500.0,1320,25005,Bevekom,Beauvechain
345000.0,8730,31003,Beernem,Beernem
392500.0,2340,13004,Beerse,Beerse
417500.0,1650,23003,Beersel,Beersel
417500.0,1651,23003,Beersel,Beersel
417500.0,1652,23003,Beersel,Beersel
417500.0,1653,23003,Beersel,Beersel
417500.0,1654,23003,Beersel,Beersel
392500.0,3130,24007,Begijnendijk,Begijnendijk
357001.5,3460,24008,Bekkevoort,Bekkevoort
357001.5,3461,24008,Bekkevoort,Bekkevoort
150000.0,7970,51008,Beloeil,Beloeil
150000.0,7971,51008,Beloeil,Beloeil
