âge,revenus par an,revenus par mois,emprunt sur trente ans (bas),emprunt sur trente ans (haut)
Moins de 24 ans,"8356€","696,3543047","49 717,83 €","74 576,75 €"
De 25 à 29 ans,"24817€","2068,133821","165 726,09 €","248 589,14 €"
De 30 à 34 ans,"34720€","2893,414918","232 016,53 €","348 024,80 €"
De 35 à 39 ans,"41094€","3424,509842","281 734,36 €","422 601,54 €"
De 40 à 44 ans,"44950€","3745,883749","314 879,58 €","472 319,37 €"
De 45 à 49 ans,"47563€","3963,601887","331 452,19 €","497 178,29 €"
De 50 à 54 ans,"48263€","4021,919628","339 738,49 €","509 607,74 €"
De 55 à 59 ans,"47275€","3939,614364","323 165,88 €","484 748,82 €"
De 60 à 64 ans,"44716€","3726,375486","306 593,27 €","459 889,91 €"
De 65 à 69 ans,"39590€","3299,20556","273 448,05 €","410 172,08 €"
De 70 à 74 ans,"32425€","2702,084707","223 730,23 €","335 595,35 €"
De 75 à 79 ans,"29826€","2485,511754","207 157,62 €","310 736,43 €"
De 80 à 84 ans,"26296€","2191,410038","182 298,70 €","273 448,05 €"
85 ans et plus,"22986€","1915,553249","157 439,79 €","236 159,69 €"
