Gemeentenaam,Nom commune,Moins de 24 ans,De 25 à 29 ans,De 30 à 34 ans,De 35 à 39 ans,De 40 à 44 ans,De 45 à 49 ans,De 50 à 54 ans,De 55 à 59 ans,De 60 à 64 ans,De 65 à 69 ans,De 70 à 74 ans,De 75 à 79 ans,De 80 à 84 ans,85 ans et plus
Aalter,Aalter,0.1726313611111111,0.5754378194444444,0.8056129583333332,0.9782443055555554,1.0933318749999998,1.1508756666666666,1.1796475416666667,1.12210375,1.064559972222222,0.9494724027777778,0.7768410833333332,0.7192972916666667,0.6329815972222222,0.5466659444444444
Aarschot,Aarschot,0.21066877966101696,0.7022292033898305,0.9831208983050846,1.193789661016949,1.3342355084745763,1.404458440677966,1.4395698813559321,1.3693469491525423,1.299124033898305,1.1586781864406779,0.9480094576271185,0.8777865254237288,0.7724521186440678,0.6671177627118644
Aartselaar,Aartselaar,0.13658745054945054,0.4552914615384615,0.6374080549450549,0.7739954945054944,0.8650537912087911,0.9105829450549451,0.9333475054945055,0.8878183516483515,0.8422892087912087,0.751230912087912,0.6146434945054945,0.5691143406593406,0.5008206043956044,0.4325269010989011
Affligem,Affligem,0.20112391585760517,0.670412993527508,0.9385782038834951,1.1397021035598704,1.273784708737864,1.3408260194174757,1.374346650485437,1.3073053398058252,1.2402640453074432,1.1061814401294499,0.9050575728155339,0.8380162621359223,0.73745428802589,0.636892362459547
Aiseau-Presles,Aiseau-Presles,0.29593947619047617,0.9864648333333332,1.3810507857142855,1.676990238095238,1.8742832142857142,1.9729297142857143,2.0222529285714286,1.9236064285714285,1.8249599523809523,1.6276669761904763,1.3317275714285712,1.2330810714285714,1.0851113095238096,0.9371416190476191
Alken,Alken,0.21616448695652174,0.7205482260869565,1.0087675304347825,1.224932,1.369041652173913,1.4410964869565217,1.4771238782608695,1.405069043478261,1.3330142260869564,1.1889045739130435,0.9727401391304347,0.9006853043478261,0.7926030434782608,0.6845208347826086
Aalst,Alost,0.22599014545454546,0.7533004181818181,1.0546206,1.2806107272727272,1.4312708181818181,1.5066008727272726,1.5442658727272727,1.4689358181818182,1.3936057818181817,1.242945690909091,1.0169556,0.9416255454545455,0.8286304545454546,0.7156354181818182
Alveringem,Alveringem,0.29074755555555554,0.969158432748538,1.3568218245614034,1.647569356725146,1.841401052631579,1.9383169122807018,1.9867748070175437,1.8898589473684209,1.792943111111111,1.5991114152046784,1.3083639298245613,1.2114480701754387,1.066074269005848,0.9207005380116958
Amay,Amay,0.2837775799086758,0.9459251826484018,1.3242952739726026,1.6080728310502281,1.7972578767123286,1.891850410958904,1.9391466438356164,1.844554109589041,1.749961598173516,1.5607765525114154,1.2769990410958902,1.182406506849315,1.040517694063927,0.8986289497716895
Andenne,Andenne,0.29735545454545453,0.9911847607655502,1.3876586842105263,1.6850141148325357,1.8832510765550239,1.9823695693779904,2.031928779904306,1.9328102870813395,1.833691818181818,1.63545485645933,1.3380994736842104,1.238980980861244,1.0903032296650719,0.9416255502392344
Anderlecht,Anderlecht,0.190052874617737,0.6335095259938838,0.8869133486238532,1.0769662079510702,1.203668119266055,1.2670190825688072,1.2986945412844035,1.2353435779816513,1.1719926299694188,1.0452907186544342,0.8552378899082568,0.7918869266055045,0.6968604740061162,0.6018340672782875
Anderlues,Anderlues,0.3359312972972973,1.1197708918918918,1.5676792702702702,1.9036105405405404,2.1275647297297295,2.239541837837838,2.2955303513513514,2.183553243243243,2.071576162162162,1.847621972972973,1.5116907567567566,1.3997136486486486,1.231747972972973,1.0637823783783784
Anhee,Anhee,0.28905716279069765,0.9635237906976744,1.3489333255813953,1.6379904651162789,1.8306952325581394,1.9270476279069766,1.9752237906976744,1.8788713953488372,1.782519023255814,1.5898142558139534,1.3007571627906975,1.2044047674418605,1.0598761627906976,0.9153476279069767
Ans,Ans,0.31073645,1.035788075,1.450103325,1.7608397499999997,1.967997375,2.0715762,2.123365575,2.0197867499999997,1.9162079499999998,1.709050325,1.39831395,1.2947351249999999,1.139366875,0.9839987
Antoing,Antoing,0.36773544378698225,1.2257847041420118,1.7160986094674555,2.0838340236686386,2.3289909763313608,2.4515694674556214,2.512858668639053,2.390280177514793,2.2677017159763313,2.0225447633136096,1.6548094082840235,1.5322309171597632,1.3483631656804733,1.1644955029585797
Antwerpen,Anvers,0.18551429850746268,0.6183809402985074,0.8657333283582089,1.0512476119402985,1.1749238059701492,1.2367619104477612,1.2676809402985074,1.2058428358208955,1.1440047462686567,1.020328552238806,0.8348142985074626,0.7729761940298507,0.6802190298507462,0.5874619104477612
Anzegem,Anzegem,0.1814519416058394,0.6048397518248175,0.8467756642335765,1.0282275912408758,1.1491955474452553,1.2096795328467154,1.239921503649635,1.179437518248175,1.1189535474452554,0.9979855912408759,0.8165336934306568,0.756049708029197,0.6653237226277372,0.5745977810218977
Ardooie,Ardooie,0.2150425259515571,0.7168083564013841,1.003531712802768,1.218574221453287,1.3619358996539792,1.4336167474048442,1.4694571453287197,1.3977762975778545,1.3260954671280276,1.1827337889273357,0.9676913148788927,0.8960104671280277,0.788489186851211,0.6809679584775086
Arendonk,Arendonk,0.21246936752136752,0.7082311623931624,0.991523641025641,1.2039929914529912,1.3456392307692306,1.416462358974359,1.4518738974358973,1.3810507692307692,1.310227658119658,1.1685814188034187,0.9561121025641025,0.8852889743589744,0.7790542735042735,0.6728196239316239
Aarlen,Arlon,0.18278614705882354,0.6092871029411765,0.8530019558823528,1.035788088235294,1.1576455147058824,1.2185742352941176,1.2490385735294118,1.1881098529411764,1.1271811470588233,1.0053237205882353,0.8225376176470588,0.7616088970588235,0.6702158088235294,0.5788227647058823
As,As,0.2762101777777778,0.9207005111111111,1.2889807333333332,1.5651908888888886,1.749331,1.8414010666666667,1.8874360666666665,1.7953659999999998,1.7032959555555554,1.5191558444444444,1.2429457333333331,1.1508756666666666,1.0127705555555555,0.874665511111111
Asse,Asse,0.15157875609756097,0.5052624756097561,0.707367475609756,0.858946219512195,0.9599987195121951,1.010524975609756,1.0357880853658537,0.9852618292682926,0.9347355853658535,0.8336830853658537,0.6821043658536585,0.6315781097560975,0.5557887195121951,0.4799993658536585
Assenede,Assenede,0.20376160655737705,0.6792052950819671,0.9508874262295082,1.1546490163934424,1.290490081967213,1.3584106229508197,1.392370868852459,1.3244503278688524,1.2565298032786885,1.120688737704918,0.9169271803278688,0.8490066393442622,0.7471258196721311,0.6452450491803279
Assesse,Assesse,0.31073645,1.035788075,1.450103325,1.7608397499999997,1.967997375,2.0715762,2.123365575,2.0197867499999997,1.9162079499999998,1.709050325,1.39831395,1.2947351249999999,1.139366875,0.9839987
Aat,Ath,0.25627748453608246,0.854258206185567,1.195961505154639,1.4522389690721647,1.623090618556701,1.7085164536082473,1.7512293402061856,1.6658035051546392,1.5803776907216494,1.4095260412371133,1.153248618556701,1.0678227835051546,0.9396840206185567,0.8115453195876289
Aubange,Aubange,0.20715763333333334,0.6905253833333334,0.9667355499999999,1.1738931666666665,1.31199825,1.3810508,1.41557705,1.3465245,1.2774719666666665,1.1393668833333332,0.9322092999999999,0.86315675,0.7595779166666666,0.6559991333333333
Oudenaarde,Audenarde,0.2239541981981982,0.7465139279279279,1.0451195135135134,1.2690736936936935,1.4183764864864865,1.4930278918918918,1.5303535675675675,1.455702162162162,1.3810507747747747,1.231747981981982,1.0077938378378377,0.9331424324324324,0.8211653153153153,0.7091882522522522
